Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,1388888888888889,0,6166666666666667,0,24444444444444444
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,4,0,3,0,3
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,6666666666666666,0,3333333333333333,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,5363636363636364,0,33636363636363636,0,12727272727272726
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,03333333333333333,0,06666666666666667,0,9
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,8255813953488372,0,1744186046511628,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=High,1,0,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,02702702702702703,0,0,972972972972973
