Variable,Parents,ParentConfig,Low,Mid,High
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Low|HarvestSlattervallTotal=High,0,2727272727272727,0,6545454545454545,0,07272727272727272
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Low|HarvestSlattervallTotal=High,0,08695652173913043,0,6086956521739131,0,30434782608695654
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Mid|HarvestSlattervallTotal=High,0,29411764705882354,0,6764705882352942,0,029411764705882353
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Mid|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Missing|HarvestSlattervallTotal=Mid,0,48226950354609927,0,48226950354609927,0,03546099290780142
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Mid|HarvestSlattervallTotal=Low,0,37777777777777777,0,2222222222222222,0,4
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Low|HarvestSlattervallTotal=Mid,0,4,0,6,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Low|HarvestSlattervallTotal=Low,0,17073170731707318,0,5365853658536586,0,2926829268292683
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=High|HarvestSlattervallTotal=Mid,0,3191489361702128,0,5957446808510638,0,0851063829787234
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Low|HarvestSlattervallTotal=Missing,0,125,0,125,0,75
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Low|HarvestSlattervallTotal=Missing,0,0,1,0,9
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Mid|HarvestSlattervallTotal=Low,0,3230769230769231,0,2,0,47692307692307695
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Missing|HarvestSlattervallTotal=High,0,7,0,3,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Mid|HarvestSlattervallTotal=High,0,44,0,48,0,08
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Mid|HarvestSlattervallTotal=Missing,0,08333333333333333,0,25,0,6666666666666666
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=High|HarvestSlattervallTotal=Missing,0,1111111111111111,0,5555555555555556,0,3333333333333333
